Path,Line Coverage,Function Coverage,Region Coverage
src/dovecot/src/lib/mempool.h,44.44% (16/36),50.00% (4/8),71.88% (23/32)
src/dovecot/src/lib/net.c,5.99% (44/735),9.80% (5/51),6.47% (48/742)
src/dovecot/src/lib/nfs-workarounds.c,0.00% (0/155),0.00% (0/18),0.00% (0/138)
src/dovecot/src/lib/ostream-file.c,36.16% (294/813),59.46% (22/37),36.50% (350/959)
src/dovecot/src/lib/ostream-rawlog.c,0.00% (0/53),0.00% (0/4),0.00% (0/57)
src/dovecot/src/lib/ostream-unix.c,0.00% (0/56),0.00% (0/4),0.00% (0/86)
src/dovecot/src/lib/ostream.c,40.77% (223/547),44.62% (29/65),39.05% (239/612)
src/dovecot/src/lib/ostream.h,100.00% (4/4),100.00% (1/1),100.00% (1/1)
src/dovecot/src/lib/path-util.c,0.00% (0/278),0.00% (0/11),0.00% (0/574)
src/dovecot/src/lib/pkcs5.c,0.00% (0/55),0.00% (0/3),0.00% (0/36)
src/dovecot/src/lib/primes.c,0.00% (0/8),0.00% (0/1),0.00% (0/9)
src/dovecot/src/lib/printf-format-fix.c,46.34% (57/123),66.67% (4/6),49.51% (51/103)
src/dovecot/src/lib/priorityq.c,77.23% (78/101),83.33% (10/12),73.68% (98/133)
src/dovecot/src/lib/process-title.c,0.00% (0/100),0.00% (0/7),0.00% (0/108)
src/dovecot/src/lib/rand.c,0.00% (0/12),0.00% (0/2),0.00% (0/14)
src/dovecot/src/lib/randgen.c,56.98% (49/86),60.00% (3/5),52.38% (55/105)
src/dovecot/src/lib/restrict-access.c,0.00% (0/367),0.00% (0/22),0.00% (0/362)
src/dovecot/src/lib/safe-memset.c,0.00% (0/9),0.00% (0/1),0.00% (0/6)
src/dovecot/src/lib/safe-mkstemp.c,0.00% (0/72),0.00% (0/5),0.00% (0/43)
src/dovecot/src/lib/sendfile-util.c,0.00% (0/25),0.00% (0/1),0.00% (0/38)
src/dovecot/src/lib/sha1.c,0.00% (0/157),0.00% (0/9),0.00% (0/154)
src/dovecot/src/lib/sha2.c,0.00% (0/288),0.00% (0/24),0.00% (0/198)
src/dovecot/src/lib/sha3.c,0.00% (0/148),0.00% (0/14),0.00% (0/159)
src/dovecot/src/lib/sleep.c,23.91% (11/46),28.57% (2/7),29.63% (8/27)
src/dovecot/src/lib/str-sanitize.c,0.00% (0/122),0.00% (0/7),0.00% (0/131)
src/dovecot/src/lib/str.c,54.74% (52/95),57.14% (8/14),37.78% (34/90)
src/dovecot/src/lib/str.h,58.06% (18/31),60.00% (6/10),50.00% (6/12)
src/dovecot/src/lib/strescape.c,0.00% (0/248),0.00% (0/14),0.00% (0/195)
src/dovecot/src/lib/strescape.h,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/dovecot/src/lib/strfuncs.c,34.68% (206/594),37.10% (23/62),37.17% (213/573)
src/dovecot/src/lib/strfuncs.h,0.00% (0/7),0.00% (0/2),0.00% (0/2)
src/dovecot/src/lib/strnum.c,10.74% (32/298),10.71% (3/28),10.07% (29/288)
src/dovecot/src/lib/time-util.c,18.85% (23/122),25.00% (3/12),14.17% (17/120)
src/dovecot/src/lib/time-util.h,16.33% (8/49),14.29% (1/7),9.09% (3/33)
src/dovecot/src/lib/unichar.c,17.78% (56/315),4.17% (1/24),13.16% (45/342)
src/dovecot/src/lib/unichar.h,40.00% (10/25),50.00% (2/4),88.89% (16/18)
src/dovecot/src/lib/utc-mktime.c,0.00% (0/28),0.00% (0/3),0.00% (0/23)
src/dovecot/src/lib/utc-offset.c,0.00% (0/4),0.00% (0/1),0.00% (0/1)
src/dovecot/src/lib/var-expand-if.c,0.00% (0/200),0.00% (0/3),0.00% (0/205)
src/dovecot/src/lib/var-expand.c,2.98% (18/604),3.70% (1/27),2.58% (13/504)
src/dovecot/src/lib/var-expand.h,0.00% (0/7),0.00% (0/1),0.00% (0/10)
src/dovecot/src/lib/wildcard-match.c,0.00% (0/68),0.00% (0/3),0.00% (0/69)
src/dovecot/src/lib/wildcard-match.h,0.00% (0/3),0.00% (0/1),0.00% (0/2)
src/dovecot/src/lib/write-full.c,0.00% (0/32),0.00% (0/2),0.00% (0/37)
Totals,17.57% (6154/35021),23.76% (579/2437),17.89% (6951/38850)
